system:time_start,potential_evaporation_1,temperature_2m,total_precipitation_1
"Jan 1, 1981",-7.195,281.028,0.403
"Feb 1, 1981",-6.975,282.986,2.429
"Mar 1, 1981",-8.491,286.02,6.817
"Apr 1, 1981",-10.913,289.055,2.941
"May 1, 1981",-8.99,289.626,8.125
"Jun 1, 1981",-7.475,291.541,31.564
"Jul 1, 1981",-9.609,291.975,16.533
"Aug 1, 1981",-9.161,292.66,11.44
"Sep 1, 1981",-7.218,291.331,11.804
"Oct 1, 1981",-9.072,289.542,2.639
"Nov 1, 1981",-6.754,286.594,4.388
"Dec 1, 1981",-6.222,282.295,1.48
"Jan 1, 1982",-6.906,280.896,0.544
"Feb 1, 1982",-6.605,283.352,3.237
"Mar 1, 1982",-9.21,286.54,2.89
"Apr 1, 1982",-8.186,286.508,5.618
"May 1, 1982",-11.544,290.129,5.421
"Jun 1, 1982",-11.017,291.503,9.66
"Jul 1, 1982",-9.207,292.526,17.159
"Aug 1, 1982",-8.48,291.937,16.902
"Sep 1, 1982",-9.824,291.229,4.46
"Oct 1, 1982",-10.004,289.023,1.516
"Nov 1, 1982",-7.246,287.012,3.327
"Dec 1, 1982",-6.765,282.264,0.58
"Jan 1, 1983",-5.445,281.696,3.468
"Feb 1, 1983",-3.82,282.175,14.475
"Mar 1, 1983",-5.986,284.161,12.068
"Apr 1, 1983",-12.131,289.015,3.628
"May 1, 1983",-9.233,289.962,10.026
"Jun 1, 1983",-12.949,291.894,8.435
"Jul 1, 1983",-14.921,293.349,8.483
"Aug 1, 1983",-9.253,292.045,8.807
"Sep 1, 1983",-9.869,291.74,7.396
"Oct 1, 1983",-8.211,290.681,4.099
"Nov 1, 1983",-10.277,285.032,0.23
"Dec 1, 1983",-7.065,281.123,1.423
"Jan 1, 1984",-5.762,280.664,1.049
"Feb 1, 1984",-5.994,282.105,1.526
"Mar 1, 1984",-7.781,284.792,3.177
"Apr 1, 1984",-8.037,287.611,8.614
"May 1, 1984",-7.914,289.343,9.944
"Jun 1, 1984",-9.708,292.039,11.588
"Jul 1, 1984",-13.43,292.259,6.602
"Aug 1, 1984",-8.669,292.134,22.735
